gene,model,random,strict,moran_i,inflation,dataset,platform,strict_type,strict_split
KRT19,spatial_knn,0.30368375188861646,0.28627155956978556,0.2464803974649806,0.0174121923188309,dlpfc,Visium_DLPFC,patient,patient_
KRT8,mean,0.0,0.0,0.2482960014971054,0.0,dlpfc,Visium_DLPFC,patient,patient_
KRT8,pca_ridge,0.27022164483010885,0.2614850145686065,0.2482960014971054,0.008736630261502343,dlpfc,Visium_DLPFC,patient,patient_
KRT8,spatial_knn,0.3259341051817014,0.3102067572143996,0.2482960014971054,0.015727347967301797,dlpfc,Visium_DLPFC,patient,patient_
MAG,pca_ridge,0.45690940299985605,0.3401463433372743,0.2331143769118815,0.11676305966258177,dlpfc,Visium_DLPFC,patient,patient_
MAG,spatial_knn,0.2956492279513991,0.23536324678093312,0.2331143769118815,0.06028598117046596,dlpfc,Visium_DLPFC,patient,patient_
MAL,pca_ridge,0.36518871032817324,0.27931835976674807,0.1633709610883811,0.08587035056142517,dlpfc,Visium_DLPFC,patient,patient_
MAL,spatial_knn,0.22193350464719197,0.17514786528632365,0.1633709610883811,0.046785639360868325,dlpfc,Visium_DLPFC,patient,patient_
MALAT1,pca_ridge,0.1949998749476486,0.12497186331164027,0.1919086138448589,0.07002801163600832,dlpfc,Visium_DLPFC,patient,patient_
MALAT1,spatial_knn,0.1960166513875085,0.16600012330919997,0.1919086138448589,0.03001652807830854,dlpfc,Visium_DLPFC,patient,patient_
MBP,pca_ridge,0.5167422801206926,0.4246795856837771,0.5156025633668878,0.09206269443691545,dlpfc,Visium_DLPFC,patient,patient_
MBP,spatial_knn,0.49188470619249286,0.5086651544034351,0.5156025633668878,-0.01678044821094221,dlpfc,Visium_DLPFC,patient,patient_
MGP,mean,0.0,0.0,0.3641248799790357,0.0,dlpfc,Visium_DLPFC,patient,patient_
MGP,pca_ridge,0.1560352950545217,0.08816173601452067,0.3641248799790357,0.06787355904000104,dlpfc,Visium_DLPFC,patient,patient_
MGP,spatial_knn,0.43617963832949275,0.4111727231508276,0.3641248799790357,0.025006915178665157,dlpfc,Visium_DLPFC,patient,patient_
MOBP,mean,0.0,0.0,0.3196668563856915,0.0,dlpfc,Visium_DLPFC,patient,patient_
MOBP,pca_ridge,0.4826886164204979,0.36831287392397183,0.3196668563856915,0.11437574249652604,dlpfc,Visium_DLPFC,patient,patient_
MOBP,spatial_knn,0.39082011404913575,0.3361986946483774,0.3196668563856915,0.05462141940075832,dlpfc,Visium_DLPFC,patient,patient_
MOG,pca_ridge,0.4269977849416944,0.3176036015092291,0.2020854320738061,0.10939418343246526,dlpfc,Visium_DLPFC,patient,patient_
MOG,spatial_knn,0.2647627374692692,0.19167241561377002,0.2020854320738061,0.07309032185549919,dlpfc,Visium_DLPFC,patient,patient_
MUC1,pca_ridge,0.2346388026623341,0.21792069229693367,0.2468302877405294,0.01671811036540044,dlpfc,Visium_DLPFC,patient,patient_
MUC1,spatial_knn,0.3242317505628734,0.2909656714934148,0.2468302877405294,0.03326607906945861,dlpfc,Visium_DLPFC,patient,patient_
NEFL,pca_ridge,0.477793373014625,0.4533267004819615,0.278464746694377,0.02446667253266349,dlpfc,Visium_DLPFC,patient,patient_
NEFL,spatial_knn,0.18978290065435438,0.058541632260727734,0.278464746694377,0.13124126839362665,dlpfc,Visium_DLPFC,patient,patient_
NKX6-2,mean,0.0,0.0,0.1605185055744521,0.0,dlpfc,Visium_DLPFC,patient,patient_
NKX6-2,pca_ridge,0.37509070060380334,0.26836772170410367,0.1605185055744521,0.10672297889969967,dlpfc,Visium_DLPFC,patient,patient_
NKX6-2,spatial_knn,0.21961654641638248,0.16804039941495183,0.1605185055744521,0.05157614700143065,dlpfc,Visium_DLPFC,patient,patient_
PLP1,pca_ridge,0.5187821347412709,0.4390450721582749,0.418948084852661,0.07973706258299601,dlpfc,Visium_DLPFC,patient,patient_
PLP1,spatial_knn,0.4500406927787009,0.44288165802375007,0.418948084852661,0.007159034754950833,dlpfc,Visium_DLPFC,patient,patient_
PPP1R14A,mean,0.0,0.0,0.2156929779592869,0.0,dlpfc,Visium_DLPFC,patient,patient_
PPP1R14A,pca_ridge,0.4162307664837727,0.3295766099425595,0.2156929779592869,0.08665415654121322,dlpfc,Visium_DLPFC,patient,patient_
PPP1R14A,spatial_knn,0.27726322719026675,0.22707636063646386,0.2156929779592869,0.05018686655380289,dlpfc,Visium_DLPFC,patient,patient_
PTGDS,mean,0.0,0.0,0.1777215540482319,0.0,dlpfc,Visium_DLPFC,patient,patient_
PTGDS,pca_ridge,0.3220210715689116,0.2713783651458822,0.1777215540482319,0.05064270642302937,dlpfc,Visium_DLPFC,patient,patient_
PTGDS,spatial_knn,0.10909209258586443,0.040163736697209636,0.1777215540482319,0.06892835588865479,dlpfc,Visium_DLPFC,patient,patient_
RNASE1,mean,0.0,0.0,0.1665005564998363,0.0,dlpfc,Visium_DLPFC,patient,patient_
RNASE1,pca_ridge,0.3694775441830159,0.2926602562078674,0.1665005564998363,0.07681728797514853,dlpfc,Visium_DLPFC,patient,patient_
RNASE1,spatial_knn,0.21281121506494158,0.17313634955840715,0.1665005564998363,0.03967486550653443,dlpfc,Visium_DLPFC,patient,patient_
S100A11,mean,0.0,0.0,0.1697706261926276,0.0,dlpfc,Visium_DLPFC,patient,patient_
