slide,split,model,seed,gene,pearson,spearman,rmse
Section_2,random,pca_ridge,0,AEBP1,0.698408088739575,0.6788337616088674,0.48227766156196594
Section_2,random,pca_ridge,0,COL1A2,0.6647288889849327,0.6813918281699899,0.49082255363464355
Section_2,random,pca_ridge,0,GFRA1,0.6328394543962217,0.46795946405598554,0.4994290769100189
Section_2,random,pca_ridge,0,COL1A1,0.6750786475901669,0.6934603270257627,0.4901124835014343
Section_2,random,pca_ridge,0,HLA-E,0.6461681268289012,0.6806611894773555,0.3772697448730469
Section_2,random,pca_ridge,0,CFB,0.47958623288634267,0.5013735810760809,0.5041345953941345
Section_2,random,pca_ridge,0,CCL19,0.5727370844028826,0.4588249231014149,0.4806171655654907
Section_2,random,pca_ridge,0,SNCG,0.46515535005249925,0.4612273149673254,0.5486396551132202
Section_2,random,pca_ridge,0,IGHG2,0.39576799821747954,0.34189923183709137,0.633958637714386
Section_1,random,spatial_knn,0,CRISP3,0.8401609400842326,0.49602645418100705,0.4924685026835974
Section_1,random,spatial_knn,0,CPB1,0.7489157902972786,0.6738705899979116,0.6645585611771905
Section_1,random,spatial_knn,0,IGHG3,0.7234576998403028,0.7047582575187193,0.6997517585531248
Section_1,random,spatial_knn,0,CD74,0.8004232718788701,0.8087419149762519,0.35730869131124116
Section_1,random,spatial_knn,0,IGLC2,0.7104754724717641,0.7453723316831679,0.8332722250571944
Section_1,random,spatial_knn,0,HLA-B,0.806043082284656,0.8020085357889094,0.2658545940041933
Section_1,random,spatial_knn,0,IGKC,0.6675060252125045,0.7061898572956693,0.7718181669127718
Section_1,random,spatial_knn,0,MALAT1,0.6887128964815608,0.7137687873061057,0.6197556075209965
Section_1,random,spatial_knn,0,ALB,0.79059292681734,0.3085773874688595,0.4455654591384077
Section_1,random,spatial_knn,0,IGHG4,0.6353100713663581,0.6638166302510614,0.6049428095219724
Section_1,random,spatial_knn,0,TFF3,0.7528797942265372,0.7388358867651876,0.38246263511022144
Section_1,random,spatial_knn,0,CXCL14,0.7448100657038983,0.610106116408042,0.5415162956512896
Section_1,random,spatial_knn,0,IGHG1,0.6343951649917355,0.6423760825619571,0.7161038175672276
Section_1,random,spatial_knn,0,SLITRK6,0.7665210419709436,0.3892634810630824,0.3368941095646459
Section_1,random,spatial_knn,0,APOE,0.6746142751589561,0.6361269908049877,0.4830644007234704
Section_1,random,spatial_knn,0,MT-ND2,0.49830813539224317,0.4763267467014405,0.46497038695181175
Section_1,random,spatial_knn,0,CALML5,0.6483533125126532,0.6648251652168328,0.4059041708581586
Section_1,random,spatial_knn,0,HLA-DRA,0.7066077972176423,0.7548567518374657,0.46124004955863535
Section_1,random,spatial_knn,0,S100G,0.7222158673503695,0.6828914197928985,0.5540746302748446
Section_1,random,spatial_knn,0,LINC00645,0.6266637071300584,0.38508545795526655,0.38712924605358184
Section_1,random,spatial_knn,0,C3,0.7147470295208983,0.7058353190705549,0.5895705518428115
Section_1,random,spatial_knn,0,IGLC3,0.5498416688804927,0.4795383661309396,0.7213820403548
Section_1,random,spatial_knn,0,IGLC1,0.551652143778171,0.5086586981033694,0.8095422919749702
Section_1,random,spatial_knn,0,TIMP1,0.7164313061573566,0.7255217764856879,0.5548612564537183
Section_1,random,spatial_knn,0,APOC1,0.6273502529931524,0.6073280997472752,0.545246646241907
Section_1,random,spatial_knn,0,TFF1,0.6957513664285783,0.70327661754465,0.5060109623337675
Section_1,random,spatial_knn,0,SCGB2A2,0.6271660239924687,0.613524902923197,0.5746688402509695
Section_1,random,spatial_knn,0,SCGB1D2,0.5453997078197007,0.5192673123872487,0.632635234699356
Section_1,random,spatial_knn,0,SERPINA3,0.7008578191421542,0.6515210213444614,0.4783335798766532
Section_1,random,spatial_knn,0,LINC00052,0.6526456868599623,0.2922605938371639,0.21805656971758502
Section_1,random,spatial_knn,0,AGR2,0.6079614609648892,0.505319974886437,0.5081503710977472
Section_1,random,spatial_knn,0,C6orf141,0.6568269468909932,0.42183244714619283,0.3342504143672125
Section_1,random,spatial_knn,0,LYZ,0.6348580578669055,0.6742151116234417,0.5743764059284199
Section_1,random,spatial_knn,0,CTSD,0.6116731753179174,0.5781291564236476,0.3892483351378196
Section_1,random,spatial_knn,0,HEBP1,0.6436479683527819,0.5941433224140895,0.5141795885853633
