dataset,dataset_label,seed,split,n_total,n_train,n_val,n_test,n_dropped,train_fraction_vs_random,test_fraction_vs_random,test_fraction_vs_prebuffer,train_sections,val_sections,test_sections,train_patients,val_patients,test_patients,target_genes,n_candidates,knn_k
gse278936_prostate,GSE278936 prostate,0,matched_hop5,134509,87296,15586,1509,30118,0.8112483388627134,0.112184967660397,0.04771239763493218,52,52,6,52,52,6,50,300,15
gse278936_prostate,GSE278936 prostate,1,random,134509,107607,13451,13451,0,1.0,1.0,1.0,52,52,52,52,52,52,50,300,15
gse278936_prostate,GSE278936 prostate,1,matched_hop0,134509,87387,15495,31627,0,0.8120940087540773,2.351274998141402,1.0,52,52,52,52,52,52,50,300,15
gse278936_prostate,GSE278936 prostate,1,matched_hop2,134509,87387,15495,2203,29424,0.8120940087540773,0.16377964463608655,0.06965567394947356,52,52,8,52,52,8,50,300,15
gse278936_prostate,GSE278936 prostate,1,matched_hop5,134509,87387,15495,1203,30424,0.8120940087540773,0.08943572968552524,0.03803712018212287,52,52,6,52,52,6,50,300,15
gse278936_prostate,GSE278936 prostate,2,random,134509,107607,13451,13451,0,1.0,1.0,1.0,52,52,52,52,52,52,50,300,15
gse278936_prostate,GSE278936 prostate,2,matched_hop0,134509,87335,15547,31627,0,0.8116107688161551,2.351274998141402,1.0,52,52,52,52,52,52,50,300,15
gse278936_prostate,GSE278936 prostate,2,matched_hop2,134509,87335,15547,2202,29425,0.8116107688161551,0.16370530072113598,0.0696240553957062,52,52,7,52,52,7,50,300,15
gse278936_prostate,GSE278936 prostate,2,matched_hop5,134509,87335,15547,1203,30424,0.8116107688161551,0.08943572968552524,0.03803712018212287,52,52,6,52,52,6,50,300,15
gse278936_prostate,GSE278936 prostate,3,random,134509,107607,13451,13451,0,1.0,1.0,1.0,52,52,52,52,52,52,50,300,15
gse278936_prostate,GSE278936 prostate,3,matched_hop0,134509,87296,15586,31627,0,0.8112483388627134,2.351274998141402,1.0,52,52,52,52,52,52,50,300,15
gse278936_prostate,GSE278936 prostate,3,matched_hop2,134509,87296,15586,2293,29334,0.8112483388627134,0.17047059698163705,0.07250134378853511,52,52,8,52,52,8,50,300,15
gse278936_prostate,GSE278936 prostate,3,matched_hop5,134509,87296,15586,1509,30118,0.8112483388627134,0.112184967660397,0.04771239763493218,52,52,6,52,52,6,50,300,15
gse278936_prostate,GSE278936 prostate,4,random,134509,107607,13451,13451,0,1.0,1.0,1.0,52,52,52,52,52,52,50,300,15
gse278936_prostate,GSE278936 prostate,4,matched_hop0,134509,87296,15586,31627,0,0.8112483388627134,2.351274998141402,1.0,52,52,52,52,52,52,50,300,15
gse278936_prostate,GSE278936 prostate,4,matched_hop2,134509,87296,15586,2293,29334,0.8112483388627134,0.17047059698163705,0.07250134378853511,52,52,8,52,52,8,50,300,15
gse278936_prostate,GSE278936 prostate,4,matched_hop5,134509,87296,15586,1509,30118,0.8112483388627134,0.112184967660397,0.04771239763493218,52,52,6,52,52,6,50,300,15
