gene,model,rand,pat,inflation,moran_i,dataset
TNC,pca_ridge,0.10350468772297208,0.06652377609169917,0.036980911631272914,0.0187015948031266,dlpfc
TNC,spatial_knn,0.01575698835695475,0.008097691369144634,0.007659296987810116,0.0187015948031266,dlpfc
TSPO,pca_ridge,0.08408393676784096,0.07803844415286697,0.006045492614973988,0.0088993605435376,dlpfc
TSPO,spatial_knn,0.023559232727229852,0.01824608052426097,0.005313152202968883,0.0088993605435376,dlpfc
Z82188.2,pca_ridge,0.00519005400219667,-0.0005114886337739336,0.005701542635970604,-0.0003733035275424,dlpfc
Z82188.2,spatial_knn,0.006267539911951741,0.01645085446346897,-0.010183314551517228,-0.0003733035275424,dlpfc
Z82214.2,pca_ridge,0.05575186358505559,0.04391707648286173,0.011834787102193864,0.012185449305514,dlpfc
Z82214.2,spatial_knn,0.04718742083571012,0.026269804464530467,0.020917616371179653,0.012185449305514,dlpfc
ZFP36L1,pca_ridge,0.1117811382288135,0.09064518859420094,0.021135949634612558,0.0167252342746756,dlpfc
ZFP36L1,spatial_knn,0.02006205391961616,0.004545149077818166,0.015516904841797994,0.0167252342746756,dlpfc
ABCG2,mean,0.0,0.0,0.0,-0.0043333321570569,anderson
ABCG2,pca_ridge,-0.00240931277859154,-0.00697314075981825,0.0045638279812267105,-0.0043333321570569,anderson
ABCG2,spatial_knn,0.0006241028831021004,-0.0008731640291288127,0.0014972669122309131,-0.0043333321570569,anderson
AC007906,pca_ridge,0.06614230875607574,0.0025719234510498,0.06357038530502594,0.0052948455396296,anderson
AC007906,spatial_knn,0.0069429949012782596,-0.0042900503822768995,0.011233045283555159,0.0052948455396296,anderson
ADAM11,mean,0.0,0.0,0.0,-0.0038260647586143,anderson
ADAM11,pca_ridge,0.10956758593566954,-0.0017928953942942991,0.11136048132996383,-0.0038260647586143,anderson
ADAM11,spatial_knn,-0.00500388060209118,-0.0032590367182760505,-0.0017448438838151299,-0.0038260647586143,anderson
ADAM17,mean,0.0,0.0,0.0,0.0063482276732962,anderson
ADAM17,pca_ridge,0.1419593297238722,0.0495078433809512,0.09245148634292101,0.0063482276732962,anderson
ADAM17,spatial_knn,-0.004888757537453761,0.007249089883514876,-0.012137847420968637,0.0063482276732962,anderson
ADAM32,mean,0.0,0.0,0.0,-0.0054740414122203,anderson
ADAM32,pca_ridge,0.026455743222918,0.01250411201656287,0.01395163120635513,-0.0054740414122203,anderson
ADAM32,spatial_knn,0.00392016174229016,0.026824668961380315,-0.022904507219090153,-0.0054740414122203,anderson
AGAP9,pca_ridge,0.01724565463673566,-0.017782893243472313,0.03502854788020797,0.0015228783524041,anderson
AGAP9,spatial_knn,-0.0087104975204829,-0.006239020856223862,-0.002471476664259037,0.0015228783524041,anderson
