#Archive/File	Name	Time	Size	Type
File	GSM8558008_NEADT_12_scalefactors_json.json.gz	10/03/2024 06:32:32	156	JSON
File	GSM8558008_NEADT_12_tissue_hires_image.png.gz	10/03/2024 06:25:52	8334365	PNG
File	GSM8558008_NEADT_12_tissue_lowres_image.png.gz	10/03/2024 06:27:49	774503	PNG
File	GSM8558008_NEADT_12_tissue_positions_list.csv.gz	10/03/2024 06:31:57	60251	CSV
File	GSM8558009_NEADT_13_barcodes.tsv.gz	10/03/2024 06:31:56	10566	TSV
File	GSM8558009_NEADT_13_features.tsv.gz	10/03/2024 06:37:19	333437	TSV
File	GSM8558009_NEADT_13_matrix.mtx.gz	10/03/2024 06:27:47	24458189	MTX
File	GSM8558009_NEADT_13_scalefactors_json.json.gz	10/03/2024 06:30:18	158	JSON
File	GSM8558009_NEADT_13_tissue_hires_image.png.gz	10/03/2024 06:37:18	7839227	PNG
File	GSM8558009_NEADT_13_tissue_lowres_image.png.gz	10/03/2024 06:26:31	715102	PNG
File	GSM8558009_NEADT_13_tissue_positions_list.csv.gz	10/03/2024 06:28:56	65993	CSV
File	GSM8558010_NEADT_14_barcodes.tsv.gz	10/03/2024 06:33:56	12906	TSV
File	GSM8558010_NEADT_14_features.tsv.gz	10/03/2024 06:37:18	333437	TSV
File	GSM8558010_NEADT_14_matrix.mtx.gz	10/03/2024 06:31:01	24905289	MTX
File	GSM8558010_NEADT_14_scalefactors_json.json.gz	10/03/2024 06:28:15	158	JSON
File	GSM8558010_NEADT_14_tissue_hires_image.png.gz	10/03/2024 06:37:33	8071443	PNG
File	GSM8558010_NEADT_14_tissue_lowres_image.png.gz	10/03/2024 06:24:49	740538	PNG
File	GSM8558010_NEADT_14_tissue_positions_list.csv.gz	10/03/2024 06:37:19	63061	CSV
File	GSM8558011_NEADT_15_barcodes.tsv.gz	10/03/2024 06:37:08	16467	TSV
File	GSM8558011_NEADT_15_features.tsv.gz	10/03/2024 06:34:48	333437	TSV
File	GSM8558011_NEADT_15_matrix.mtx.gz	10/03/2024 06:33:00	26258991	MTX
File	GSM8558011_NEADT_15_scalefactors_json.json.gz	10/03/2024 06:33:47	158	JSON
File	GSM8558011_NEADT_15_tissue_hires_image.png.gz	10/03/2024 06:25:39	10105430	PNG
File	GSM8558011_NEADT_15_tissue_lowres_image.png.gz	10/03/2024 06:31:03	948328	PNG
File	GSM8558011_NEADT_15_tissue_positions_list.csv.gz	10/03/2024 06:24:10	59694	CSV
File	GSM8558012_NEADT_16_barcodes.tsv.gz	10/03/2024 06:31:00	12054	TSV
File	GSM8558012_NEADT_16_features.tsv.gz	10/03/2024 06:24:33	333437	TSV
